code_postal,Commune,Code Département,Département,Code Région,Région
90170,ETUEFFONT,90,TERRITOIRE DE BELFORT,43,FRANCHE-COMTE
12260,BALAGUIER-D'OLT,12,AVEYRON,73,MIDI-PYRENEES
09400,CAZENAVE-SERRES-ET-ALLENS,09,ARIEGE,73,MIDI-PYRENEES
50190,FEUGERES,50,MANCHE,25,BASSE-NORMANDIE
61240,NONANT-LE-PIN,61,ORNE,25,BASSE-NORMANDIE
77410,GRESSY,77,SEINE-ET-MARNE,11,ILE-DE-FRANCE
27230,PIENCOURT,27,EURE,23,HAUTE-NORMANDIE
19250,SAINT-SULPICE-LES-BOIS,19,CORREZE,74,LIMOUSIN
85310,LE TABLIER,85,VENDEE,52,PAYS DE LA LOIRE
04140,AUZET,04,ALPES-DE-HAUTE-PROVENCE,93,PROVENCE-ALPES-COTE D'AZUR
16190,DEVIAT,16,CHARENTE,54,POITOU-CHARENTES
78280,GUYANCOURT,78,YVELINES,11,ILE-DE-FRANCE
17460,BERNEUIL,17,CHARENTE-MARITIME,54,POITOU-CHARENTES
24420,SARLIAC-SUR-L'ISLE,24,DORDOGNE,72,AQUITAINE
06620,COURMES,06,ALPES-MARITIMES,93,PROVENCE-ALPES-COTE D'AZUR
57260,ZOMMANGE,57,MOSELLE,41,LORRAINE
24800,SAINT-JEAN-DE-COLE,24,DORDOGNE,72,AQUITAINE
89100,SALIGNY,89,YONNE,26,BOURGOGNE
61100,TAILLEBOIS,61,ORNE,25,BASSE-NORMANDIE
59740,BERELLES,59,NORD,31,NORD-PAS-DE-CALAIS
89630,QUARRE-LES-TOMBES,89,YONNE,26,BOURGOGNE
81500,SAINT-LIEUX-LES-LAVAUR,81,TARN,73,MIDI-PYRENEES
09300,BENAIX,09,ARIEGE,73,MIDI-PYRENEES
25270,ARC-SOUS-MONTENOT,25,DOUBS,43,FRANCHE-COMTE
59181,STEENWERCK,59,NORD,31,NORD-PAS-DE-CALAIS
84170,MONTEUX,84,VAUCLUSE,93,PROVENCE-ALPES-COTE D'AZUR
74540,ALLEVES,74,HAUTE-SAVOIE,82,RHONE-ALPES
57180,TERVILLE,57,MOSELLE,41,LORRAINE
56400,PLUMERGAT,56,MORBIHAN,53,BRETAGNE
71520,BOURGVILAIN,71,SAONE-ET-LOIRE,26,BOURGOGNE
62490,IZEL-LES-EQUERCHIN,62,PAS-DE-CALAIS,31,NORD-PAS-DE-CALAIS
79320,MONCOUTANT,79,DEUX-SEVRES,54,POITOU-CHARENTES
62380,AFFRINGUES,62,PAS-DE-CALAIS,31,NORD-PAS-DE-CALAIS
73730,ROGNAIX,73,SAVOIE,82,RHONE-ALPES
74740,SIXT-FER-A-CHEVAL,74,HAUTE-SAVOIE,82,RHONE-ALPES
41400,ANGE,41,LOIR-ET-CHER,24,CENTRE
47130,CLERMONT-DESSOUS,47,LOT-ET-GARONNE,72,AQUITAINE
36200,BADECON-LE-PIN,36,INDRE,24,CENTRE
57370,METTING,57,MOSELLE,41,LORRAINE
25530,CHEVIGNEY-LES-VERCEL,25,DOUBS,43,FRANCHE-COMTE
80360,FLERS,80,SOMME,22,PICARDIE
57120,PIERREVILLERS,57,MOSELLE,41,LORRAINE
52150,HARREVILLE-LES-CHANTEURS,52,HAUTE-MARNE,21,CHAMPAGNE-ARDENNE
38840,SAINT-HILAIRE-DU-ROSIER,38,ISERE,82,RHONE-ALPES
55150,DELUT,55,MEUSE,41,LORRAINE
81440,BROUSSE,81,TARN,73,MIDI-PYRENEES
87800,JANAILHAC,87,HAUTE-VIENNE,74,LIMOUSIN
82370,CAMPSAS,82,TARN-ET-GARONNE,73,MIDI-PYRENEES
14310,VILLY-BOCAGE,14,CALVADOS,25,BASSE-NORMANDIE
14320,CLINCHAMPS-SUR-ORNE,14,CALVADOS,25,BASSE-NORMANDIE
60330,LAGNY-LE-SEC,60,OISE,22,PICARDIE
50810,LA BARRE-DE-SEMILLY,50,MANCHE,25,BASSE-NORMANDIE
79230,BRULAIN,79,DEUX-SEVRES,54,POITOU-CHARENTES
68130,SCHWOBEN,68,HAUT-RHIN,42,ALSACE
32550,HAULIES,32,GERS,73,MIDI-PYRENEES
72110,BEAUFAY,72,SARTHE,52,PAYS DE LA LOIRE
27930,GAUCIEL,27,EURE,23,HAUTE-NORMANDIE
05140,SAINT-JULIEN-EN-BEAUCHENE,05,HAUTES-ALPES,93,PROVENCE-ALPES-COTE D'AZUR
37390,SAINT-ROCH,37,INDRE-ET-LOIRE,24,CENTRE
24220,BEYNAC-ET-CAZENAC,24,DORDOGNE,72,AQUITAINE
28210,COULOMBS,28,EURE-ET-LOIR,24,CENTRE
26120,CHABEUIL,26,DROME,82,RHONE-ALPES
61800,LE MENIL-CIBOULT,61,ORNE,25,BASSE-NORMANDIE
25290,EPEUGNEY,25,DOUBS,43,FRANCHE-COMTE
82370,LABASTIDE-SAINT-PIERRE,82,TARN-ET-GARONNE,73,MIDI-PYRENEES
72240,DOMFRONT-EN-CHAMPAGNE,72,SARTHE,52,PAYS DE LA LOIRE
10380,CHARNY-LE-BACHOT,10,AUBE,21,CHAMPAGNE-ARDENNE
57670,LENING,57,MOSELLE,41,LORRAINE
77930,SAINT-GERMAIN-SUR-ECOLE,77,SEINE-ET-MARNE,11,ILE-DE-FRANCE
68440,HABSHEIM,68,HAUT-RHIN,42,ALSACE
38730,CHELIEU,38,ISERE,82,RHONE-ALPES
27800,SAINT-ELOI-DE-FOURQUES,27,EURE,23,HAUTE-NORMANDIE
42540,SAINT-JUST-LA-PENDUE,42,LOIRE,82,RHONE-ALPES
64360,ABOS,64,PYRENEES-ATLANTIQUES,72,AQUITAINE
69360,SOLAIZE,69,RHONE,82,RHONE-ALPES
46190,CALVIAC,46,LOT,73,MIDI-PYRENEES
18200,SAINT-GEORGES-DE-POISIEUX,18,CHER,24,CENTRE
83200,LE REVEST-LES-EAUX,83,VAR,93,PROVENCE-ALPES-COTE D'AZUR
27680,SAINT-AUBIN-SUR-QUILLEBEUF,27,EURE,23,HAUTE-NORMANDIE
57830,FOULCREY,57,MOSELLE,41,LORRAINE
21330,VERDONNET,21,COTE-D'OR,26,BOURGOGNE
91540,MENNECY,91,ESSONNE,11,ILE-DE-FRANCE
10330,DONNEMENT,10,AUBE,21,CHAMPAGNE-ARDENNE
32310,MAIGNAUT-TAUZIA,32,GERS,73,MIDI-PYRENEES
79300,SAINT-AUBIN-DU-PLAIN,79,DEUX-SEVRES,54,POITOU-CHARENTES
74370,METZ-TESSY,74,HAUTE-SAVOIE,82,RHONE-ALPES
83120,LE PLAN-DE-LA-TOUR,83,VAR,93,PROVENCE-ALPES-COTE D'AZUR
70200,VOUHENANS,70,HAUTE-SAONE,43,FRANCHE-COMTE
32400,MAUMUSSON-LAGUIAN,32,GERS,73,MIDI-PYRENEES
49250,SAINT-GEORGES-DU-BOIS,49,MAINE-ET-LOIRE,52,PAYS DE LA LOIRE
71500,SAINT-USUGE,71,SAONE-ET-LOIRE,26,BOURGOGNE
45570,OUZOUER-SUR-LOIRE,45,LOIRET,24,CENTRE
51170,CHAUMUZY,51,MARNE,21,CHAMPAGNE-ARDENNE
15240,LA MONSELIE,15,CANTAL,83,AUVERGNE
89420,SAVIGNY-EN-TERRE-PLAINE,89,YONNE,26,BOURGOGNE
02220,VASSENY,02,AISNE,22,PICARDIE
14390,VARAVILLE,14,CALVADOS,25,BASSE-NORMANDIE
62890,AUDREHEM,62,PAS-DE-CALAIS,31,NORD-PAS-DE-CALAIS
08250,CHAMPIGNEULLE,08,ARDENNES,21,CHAMPAGNE-ARDENNE
32500,PIS,32,GERS,73,MIDI-PYRENEES
